nose_x,nose_y,nose_z,nose_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,label,exercise
0.35573468,0.364283,-1.3227074,0.9997077,0.557352,0.40653512,-0.9056573,0.9977335,0.24774945,0.5130953,-0.9183068,0.99657583,0.68193364,0.70002323,-0.9820148,0.908586,0.27312335,0.8883688,-0.98179275,0.9771147,0.65299094,0.9697096,-1.1275398,0.73045105,0.25914425,1.1656922,-1.1131349,0.9109507,0.548496,0.6887483,-0.0056692883,0.9984933,0.38415575,0.7495271,0.0056408383,0.9941822,0.71252143,0.83375585,-0.2819017,0.4403598,0.34014803,1.0098236,-0.24023394,0.3180675,0.647869,0.88576126,0.32276082,0.123578526,0.48622456,0.87124044,0.38336462,0.03711395,incorrect,pushup
0.35316953,0.36350486,-1.2649277,0.99973625,0.5572847,0.40626895,-0.8706277,0.99793214,0.24726145,0.5127947,-0.88560706,0.99684244,0.67998224,0.70593125,-0.9298875,0.91697055,0.27288228,0.8880206,-0.94484556,0.97887355,0.6684509,0.96336156,-1.0723493,0.7539762,0.25637192,1.1727846,-1.0698903,0.9178743,0.5475369,0.67663985,-0.002216434,0.9986373,0.3867249,0.74433535,0.0021259147,0.99473804,0.72231376,0.8333078,-0.298341,0.4797051,0.3519264,1.0028272,-0.29106742,0.36872464,0.62560034,0.8574807,0.29617047,0.12306368,0.49301845,0.84568393,0.33342674,0.038764313,incorrect,pushup
0.351818,0.35196054,-1.2875992,0.9997618,0.5567816,0.40959156,-0.8872925,0.9980649,0.23487592,0.5108209,-0.91428745,0.99693245,0.6839042,0.72298056,-0.9409809,0.9247194,0.26788253,0.88820046,-0.9743864,0.9804436,0.7309643,0.9986945,-1.0792872,0.7748902,0.2554422,1.1818664,-1.0861951,0.92329794,0.54020965,0.6844011,-0.0015936075,0.9987419,0.37580448,0.7443259,0.0016028859,0.99517643,0.7095635,0.8727463,-0.25967327,0.51008373,0.34509715,0.99905527,-0.12441949,0.40778613,0.5800041,0.8444819,0.31118593,0.1185304,0.49197656,0.84351367,0.4188339,0.042010084,incorrect,pushup
0.3558451,0.33462492,-1.3589194,0.999784,0.56285167,0.41792288,-0.9250353,0.99814457,0.2314957,0.5009622,-0.97603714,0.99692476,0.68577045,0.7543748,-0.978876,0.9315675,0.2661379,0.88708806,-1.0102296,0.98168576,0.74728477,1.0191828,-1.0990994,0.7934942,0.25558192,1.1870705,-1.1246774,0.9248825,0.53326046,0.6603884,0.0017524695,0.9988487,0.36945134,0.71932983,-0.0015590588,0.9955972,0.6710749,0.91180474,-0.09023867,0.5412734,0.34877458,0.97731555,-0.079301886,0.451223,0.5572305,0.8137285,0.5765078,0.11403535,0.47233534,0.79923075,0.539824,0.04501471,incorrect,pushup
0.35692456,0.32963195,-1.3052378,0.999805,0.56675744,0.42435566,-0.8987729,0.99827546,0.23008819,0.49592054,-0.9359107,0.9970961,0.68512475,0.7523676,-0.94037217,0.93789,0.26618728,0.8834172,-0.9769351,0.983053,0.74798906,1.0196309,-1.0578454,0.8102204,0.25552315,1.1848155,-1.0805666,0.92957526,0.53384864,0.66527283,0.0014587229,0.99894816,0.37026787,0.7180578,-0.0012587176,0.9959922,0.67473835,0.9203394,-0.10172077,0.57216424,0.3491272,0.9661158,-0.091864444,0.489048,0.5558762,0.80439514,0.52828413,0.10869395,0.46891838,0.79671377,0.4681704,0.04651282,incorrect,pushup
0.36652562,0.32291934,-1.302844,0.9998236,0.5763279,0.4227235,-0.8984252,0.998373,0.2308542,0.48853004,-0.9376114,0.99723506,0.68596756,0.75493777,-0.9453225,0.9435354,0.26635826,0.88163245,-0.98938876,0.9843198,0.74670255,1.020475,-1.0591645,0.8252166,0.25699404,1.1820234,-1.0836446,0.93434155,0.53440756,0.65912616,0.0022259385,0.99903846,0.37095517,0.6984078,-0.0020373226,0.9963464,0.6735667,0.9255043,-0.12707935,0.6028133,0.36060145,0.96460843,-0.14862393,0.52889574,0.5596869,0.7993373,0.5084366,0.10428361,0.4651428,0.79337996,0.46933842,0.04646878,incorrect,pushup
0.3708306,0.31801817,-1.2695279,0.99984074,0.5779251,0.42205477,-0.86774933,0.9984787,0.23131828,0.4846703,-0.9181291,0.99742347,0.684656,0.75427544,-0.9129206,0.94856095,0.26650074,0.878664,-0.9655657,0.98552954,0.7458547,1.0153946,-1.0325146,0.83844537,0.25922686,1.1726589,-1.0595706,0.93927747,0.5352368,0.6611056,0.0027906236,0.99912316,0.37127095,0.69751066,-0.0026306764,0.99668103,0.6660006,0.92067343,-0.1448054,0.63144225,0.37235516,0.96479034,-0.19127062,0.5670673,0.5616094,0.7994441,0.4939868,0.10140018,0.45645624,0.8005534,0.4466897,0.047101583,incorrect,pushup
0.37799534,0.31491914,-1.2759861,0.9998552,0.5924374,0.42147276,-0.87814724,0.9984462,0.23976168,0.47686443,-0.92462665,0.99738854,0.69202447,0.756274,-0.9406886,0.9529941,0.27219552,0.8764642,-0.98132765,0.9865234,0.7492014,1.0204154,-1.0543041,0.8503703,0.2589057,1.1711135,-1.0756094,0.9432396,0.5430035,0.6577937,0.0029483035,0.99918836,0.37876523,0.68724424,-0.0028131488,0.9969425,0.6657252,0.91916925,-0.008718296,0.65674216,0.3889609,0.96143085,-0.063639954,0.60058653,0.56667984,0.79875183,0.6508845,0.09862472,0.4374284,0.79662925,0.59748083,0.047095455,incorrect,pushup
0.3784735,0.31211796,-1.2800097,0.9998693,0.59421945,0.41855273,-0.8840817,0.9985481,0.24365333,0.47095743,-0.9185541,0.99756646,0.6930603,0.7554873,-0.9270331,0.9572426,0.27226543,0.8720928,-0.96570987,0.98757523,0.7465865,1.0229325,-1.0286525,0.8626601,0.25755018,1.16027,-1.0525094,0.94762796,0.54401165,0.6569293,0.0048140823,0.9992624,0.37915117,0.68461317,-0.0047511235,0.99722594,0.6655928,0.9216648,-0.19055152,0.68386424,0.3673587,1.0083663,-0.22721393,0.6349472,0.555523,0.80032855,0.47613388,0.09601655,0.428832,0.8023013,0.41844597,0.04769886,incorrect,pushup
0.40243316,0.29894778,-1.326317,0.99983394,0.62737507,0.3621526,-0.9352832,0.9976281,0.25780565,0.4606934,-0.9478202,0.9962578,0.7095385,0.77017206,-0.95459783,0.9602094,0.27624854,0.8733704,-0.9785755,0.9872848,0.7468276,1.0856665,-1.0593574,0.8726482,0.2532737,1.1652348,-1.0695404,0.93729776,0.56887543,0.64393765,0.004190869,0.9991716,0.39974034,0.6884524,-0.0039549475,0.9971026,0.6443445,0.90785617,0.44459873,0.69101465,0.41143012,0.9251376,0.45735794,0.6446492,0.56076586,0.8003332,1.0990407,0.09704538,0.4360308,0.80543417,1.0142723,0.055099133,incorrect,pushup
